2017-11-03 15:15:40.370 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'obtainDataStaff4Admin' of type [class ObtainStaff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.383 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'obtainUserAuthoritieStaff' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.ObtainUserAuthoritieStaff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.391 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'isDelValidate' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.IsDelValidate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.399 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'isLockedValidate' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.IsLockedValidate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.407 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'isAvailValidate' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.IsAvailValidate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.415 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'isEnabledValidate' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.IsEnabledValidate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.422 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'passwordMd5Validate' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.PasswordMd5Validate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.429 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'updateLogStaff' of type [class com.catt.common.module.security.web.security.shiro.validate.impl.UpdateLogStaff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.457 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'deptServiceImpl' of type [class org.springframework.remoting.rmi.RmiProxyFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.457 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'deptServiceImpl' of type [class com.sun.proxy.$Proxy45] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.483 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'com.catt.common.module.security.service.impl.ExtPrincipalBuilderServiceImpl#1020328' of type [class com.catt.common.module.security.service.impl.ExtPrincipalBuilderServiceImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.484 [main] INFO  org.apache.shiro.realm.AuthorizingRealm - [loginUserName: logId:] No cache or cacheManager properties have been set.  Authorization cache cannot be obtained.
2017-11-03 15:15:40.484 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'authenticationRealm' of type [class com.catt.common.web.security.shiro.realm.ExtAuthenticationRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.584 [main] INFO  org.springframework.cache.ehcache.EhCacheManagerFactoryBean - [loginUserName: logId:] Initializing EhCache CacheManager
2017-11-03 15:15:40.752 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'ehCacheManager' of type [class org.springframework.cache.ehcache.EhCacheManagerFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.754 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'ehCacheManager' of type [class net.sf.ehcache.CacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.758 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'shiroCacheManager' of type [class org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.857 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'rememberMeCookie' of type [class org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.859 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - [loginUserName: logId:] Bean 'rememberMeManager' of type [class org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-11-03 15:15:40.863 [main] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - [loginUserName: logId:] Using existing EHCache named [authorization]
